"","pid","age_pre","gender_pre","migration_pre","language_pre","wv_cor_t_pre","wv_speed_t_pre","wv_sum_done_pre","wv_sum_score_pre","sv_cor_t_pre","sv_speed_t_pre","sv_sum_done_pre","sv_sum_score_pre","tv_cor_t_pre","tv_speed_t_pre","tv_sum_done_pre","tv_sum_score_pre","elfe_t_pre","ges_invalid_pre","klassenstufe.x","age_post","gender_post","migration_post","language_post","wv_cor_t_post","wv_speed_t_post","wv_sum_done_post","wv_sum_score_post","sv_cor_t_post","sv_speed_t_post","sv_sum_done_post","sv_sum_score_post","tv_cor_t_post","tv_speed_t_post","tv_sum_done_post","tv_sum_score_post","elfe_t_post","ges_invalid_post","klassenstufe.y","klassenstufe_post","dummy_foerderung"
"31",6001218,8,NA,1,1,48,47,25,25,43,50,10,6,46,46,6,4,45,0,2,9,1,1,1,51,50,38,38,50,48,15,15,45,49,12,7,48,0,2,2,0
"32",6001219,NA,1,3,2,34,34,14,12,39,50,10,4,25,46,6,0,30,0,2,8,1,3,2,38,37,24,24,31,30,5,4,26,37,6,1,29,0,2,2,1
"33",6001220,9,1,2,1,41,39,18,18,50,50,10,9,46,46,6,4,45,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"34",6001222,8,1,2,1,67,67,47,46,70,68,21,21,56,61,16,8,66,0,2,9,1,2,2,59,59,48,48,67,65,26,26,51,65,23,10,60,0,2,2,0
"35",6001223,8,1,3,2,42,40,19,19,39,36,4,4,43,46,6,3,40,0,2,8,1,3,2,25,25,11,11,39,39,10,9,34,29,4,3,30,0,2,2,0
"36",6001224,7,1,3,3,43,41,20,20,36,33,3,3,39,34,2,2,38,0,2,8,1,3,3,46,44,32,32,38,39,10,8,37,29,4,4,39,0,2,2,0
"37",6011103,9,1,3,3,51,50,48,48,47,47,21,20,43,49,17,10,47,0,4,10,1,3,3,52,53,56,55,48,49,25,24,38,57,18,9,45,0,4,4,0
"38",6011104,9,1,1,1,51,50,48,48,41,41,17,16,38,41,12,7,42,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"39",6011105,9,1,1,1,47,46,43,43,50,49,22,22,41,49,17,9,45,0,4,10,1,1,1,47,47,49,49,52,52,27,26,40,49,19,10,46,0,4,4,0
"40",6011106,9,2,3,2,47,48,45,44,46,46,20,19,41,49,17,9,44,0,4,10,2,3,2,63,63,67,66,54,75,36,27,41,66,26,11,53,0,4,4,0
"41",6011107,9,2,1,1,56,55,54,54,59,57,27,27,45,53,19,11,54,0,4,NA,2,1,1,58,57,61,61,71,69,34,34,45,59,24,13,59,0,4,4,0
"42",6011108,10,2,1,1,61,61,60,60,55,54,25,25,45,67,26,11,54,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"43",6011110,9,2,1,2,47,47,44,44,47,47,21,20,36,58,22,6,42,0,4,9,2,1,2,47,47,49,49,43,45,23,21,38,49,19,9,42,0,4,4,1
"44",6011113,10,2,3,2,43,43,40,39,46,46,20,19,40,46,15,8,42,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"45",6011114,9,2,3,2,50,49,47,47,43,43,18,17,38,39,11,7,43,0,4,NA,2,3,2,57,56,60,60,56,54,28,28,36,40,14,8,50,0,4,4,0
"46",6011115,11,2,1,1,53,53,51,51,49,47,21,21,40,53,19,8,47,0,4,11,2,2,1,51,51,54,54,40,41,20,19,38,44,16,9,42,0,4,4,1
"47",6011116,9,2,1,1,53,53,51,51,59,57,27,27,41,51,18,9,51,0,4,NA,2,1,1,55,55,58,58,45,44,22,22,40,57,18,10,46,0,4,4,0
"48",6011117,10,2,2,1,49,49,46,46,44,43,18,18,38,46,15,7,43,0,4,10,2,2,1,46,46,48,48,43,42,21,21,36,42,15,8,41,0,4,4,0
"49",6011118,10,2,1,1,39,38,34,34,41,44,19,16,41,49,17,9,39,0,4,11,2,1,1,40,40,41,40,35,34,15,15,34,45,17,7,35,0,4,4,1
"50",6011119,10,2,1,1,53,53,51,51,55,54,25,25,40,51,18,8,49,0,4,10,2,1,1,47,47,49,49,50,49,25,25,38,44,16,9,44,0,4,4,0
"51",6011120,NA,2,3,2,34,39,35,28,35,38,15,12,25,25,0,0,29,1,4,11,2,2,2,35,36,36,34,43,47,24,21,41,66,26,11,38,0,4,4,0
"52",6011202,9,2,1,2,50,49,47,47,47,46,20,20,41,51,18,9,45,0,4,10,2,1,2,52,53,56,55,35,34,15,15,36,49,19,8,40,0,4,4,0
"53",6011203,9,2,1,2,51,50,48,48,41,43,18,16,33,39,11,5,41,0,4,9,2,1,2,49,48,51,51,50,49,25,25,38,57,18,9,45,0,4,4,1
